I,result
43,difficulti/encount/inform/retriev/system/often/less/relat/equip/use/failur/plan/adequ/document/analysi/index/machin/code/posit/programm/take/problem/write/way/equip/understand/articl/written/describ/research/maxim/effect/program
44,present/fifti/one/hundr/technic/journal/publish/averag/two/new/journal/appear/everi/day/mani/journal/publish/one/two/million/articl/appear/everi/year/attempt/made/cope/amount/scientif/technic/public/term/analysi/control/storag/retriev
45,look/inform/impact/autom/librari/signific/librari/gener/includ/increas/import/autom/view/prolifer/inform/today/autom/help/librari/cope/problem/autom/affect/librari/react/idea/autom
46,seek/inform/use/data/process/librari/mechan/routin/librari/process/procedur/would/like/descript/gener/specif/applic/autom/area/circul/catalog/acquisit/serial/record/recordkeep/exampl/base/oper/convent/public/univers/librari/practic/special/librari/could/also/appli/public/univers/librari/give/descript/equip/oper/present/project
47,establish/mean/present/intern/exchang/materi/inform/retriev/take/form/intern/agenc/center/regularli/distribut/inform/retriev/method/research/result/way/materi/cross/nation/boundari/seem/problem/block/better/intern/exchang/effort/made/solv/problem
48,inform/retriev/still/new/experiment/field/line/distinguish/research/practic/often/difficult/even/imposs/draw/howev/actual/center/research/inform/retriev/countri/locat/support/govern/busi/univers/librari/inform/retriev/special/research/disciplin/said/emerg/still/amalgam/skill/field/mathemat/engin/librari/scienc/word/tell/inform/retriev/research
49,resourc/spent/appli/inform/retriev/techniqu/physic/medic/scienc/inform/retriev/use/natur/scienc/social/scienc/human/problem/encount/subject/area/solv/characterist/subject/area/necessit/develop/new/inform/retriev/techniqu/prospct/futur/machin/control/area
50,use/tradit/classif/scheme/ddc/udc/lc/etc/inform/retriev/system/scheme/appear/suit/machin/use/appli/classif/scheme/irrelev/research/shown/subject/classif/knowledg/complet/unnecessari/machin/system/new/scheme/devis/appear/suit/machin/use
51,coordin/index/util/descriptor/control/languag/use/descriptor/construct/index/descriptor/use/search/inform/retriev/system
52,characterist/medlar/medic/literatur/analysi/retriev/system/project/undertaken/nation/librari/medicin/index/current/medic/journal/relat/index/system/index/medicu/major/compon/medlar/project/major/oper/detail
53,comput/use/medic/scienc/diagnost/clinic/record/keep/purpos/program/autom/tri/hospit/result/problem/encount/use/autom/medicin/purpos/autom/system/clinic/record/use/possibl/use/comput/medicin
54,effect/librarian/autom/note/new/type/technolog/use/librari/effect/statu/posit/function/librarian/chang/contempl/initi/introduc/autom/educ/librarian
55,aim/object/medic/literatur/analysi/retriev/system/medlar/medlar/oper/possibl/applic/medlar/futur/inform/retriev/system
56,standard/method/find/inform/today/librari/use/alphabet/arrang/card/catalog/classifi/catalog/base/classif/system/dc/lc/system/modifi/use/autom/inform/retriev
57,catalog/either/arrang/alphabet/arrang/classif/number/lc/entri/print/readabl/languag/ultim/import/individu/look/inform/definit/author/titl/subject/phrase/languag/probabl/english/case/mind/lc/entri/subject/head/use/manner/autom/system
58,bibliograph/control/marc/review/capabl/key/onlin/system/brought/interdepend/among/librari/servic/center/mediat/larg/util/process/distribut/data/develop/basic/network/structur/among/librari/unit/state/independ/develop/major/network/brought/problem/standard/coordin/author/point/technolog/led/toward/central/autom/librari/servic/new/develop/push/toward/decentr/coordin/requir/avoid/fragment/new/environ
59,retriev/perform/book/index/measur/term/abil/direct/user/select/text/materi/whose/ident/locat/known/method/requir/human/searcher/base/search/strategi/actual/passag/book/rather/test/queri/natur/contriv/circumv/need/relev/judgement/still/yield/perform/indic/correspond/approxim/recal/precis/ratio/larg/document/retriev/system/evalu/preliminari/applic/method/subject/index/two/major/encyclopedia/show/one/encyclopedia/appar/superior/find/discrimin/abil/retriev/perform/method/present/best/suit/compar/test/sinc/abil/yield/absolut/reproduc/measur/yet/establish
60,linkag/similar/measur/take/account/bibliograph/coupl/document/cocit/cite/cite/paper/produc/improv/document/retriev/measur/base/bibliograph/coupl/test/collect/consist/paper/whose/relev/specif/queri/judg/user/evalu/effect/use/cocit/data/calcul/queri/two/measur/similar/relev/paper/everi/paper/retriev/paper/sort/similar/measur/produc/two/order/list/compar/result/predict/relev/partial/relev/nonrelev/user/evalu/paper/overal/chang/bibliograph/coupl/measur/linkag/similar/measur/repres/introduct/cocit/data/result/better/retriev/perform
61,way/individu/construct/modifi/search/queri/larg/interact/document/retriev/system/subject/systemat/bias/similar/demonstr/experi/judgement/uncertainti/bias/share/naiv/sophist/subject/caus/inquir/search/document/larg/interact/system/construct/modifi/queri/ineffici/search/algorithm/suggest/help/inquir/avoid/effect/bias
62,articl/concern/problem/permit/patron/repres/rel/import/variou/index/term/boolean/request/retain/desir/properti/boolean/system/charact/classic/boolean/system/review/relat/notion/fuzzi/set/fuzzi/set/concept/form/basi/concept/fuzzi/request/weight/assign/index/term/ther/properti/system/discuss/shown/system/retain/manipul/tradit/boolean/request
63,commerci/avail/onlin/search/use/standard/compar/search/evalu/inhous/inform/system/base/automat/index/system/featur/identifi/evalu/basi/use/variou/kind/search/eas/implement/influenc/differ/user/type/specif/applic/common/featur/commerci/system/onlin/instruct/userspecifi/print/format/dictionari/display/truncat/seen/unnecessari/impract/inhous/system/design/inhous/system/therefor/detald/consider/must/given/applic/oper/environ/real/user/need/commerci/system/serv/use/standard/compar/evalu/one/must/care/attempt/duplic/blindli/inhous
64,argu/inform/scienc/distinguish/physic/object/document/space/perspect/subject/inform/space/two/space/like/map/landscap/systemat/distort/howev/transform/easili/made/two/space/distinguish/transform/omit/get/unhelp/physic/solut/inform/problem
65,use/document/cluster/suggest/effici/file/organ/document/retriev/system/possibl/use/inform/relationship/document/effect/system/ie/abil/distinguish/relev/nonrelev/document/may/also/improv/paper/probabilist/model/cluster/search/base/queri/classif/describ/model/test/retriev/experi/indic/effect/heurist/cluster/search/cluster/search/base/model/also/effect/full/search/everi/document/compar/queri/effici/aspect/implement/model/discuss
66,current/onlin/librari/network/technolog/describ/includ/physic/function/aspect/network/three/type/network/distinguish/search/servic/eg/sdc/lockhe/custom/servic/provid/bibliograph/file/eg/oclc/inc/rlin/servic/center/eg/nelinet/incolsa/predict/technolog/evolv/servic/provid/outsid/librari/directli/user/home/offic
67,experiment/comput/program/develop/classifi/document/accord/section/five/major/section/group/chemic/abstract/ca/program/use/pattern/recognit/techniqu/supplement/heurist/train/phase/word/preclassifi/document/select/probabl/occurr/word/section/ca/comput/store/refer/dictionari/classif/phase/match/word/document/titl/dictionari/assign/section/number/document/use/weight/deriv/probabl/dictionari/heurist/techniqu/use/normal/word/variant/plural/past/tens/gerund/train/phase/classif/phase/dictionari/lookup/techniqu/supplement/analysi/chemic/nomenclatur/term/compon/word/root/influenc/section/document/assign/program/perform/human/consist/evalu/compar/program/result/publish/section/ca/conduct/experi/peopl/experienc/assign/document/ca/section/program/assign/approxim/document/correct/major/section/group/ca/correct/section/crossrefer/rate/document/per/second
68,automat/classif/procedur/use/inform/retriev/deriv/cluster/document/intermedi/similar/matrix/comput/involv/compar/document/collect/other/recent/suggest/mani/comparison/specif/document/term/common/may/avoid/mean/uys/invert/file/document/collect/commun/show/approach/effect/reduct/number/interdocu/comparison/document/index/limit/number/index/term/exhaust/index/use/mani/document/pair/compar/sever/time/comput/greater/convent/approach/use/gener/similar/matrix
69,use/minicomput/variou/phase/creat/thesauru/nation/inform/center/special/educ/materi/nicsem/databas/describ/minicomput/use/collect/edit/correct/candid/thesauru/term/use/minicomput/eas/process/group/term/file/similar/concept/facilit/gener/product/use/vocabulari/review/term/structur/syndet/relat/indic/assign/code/identif/number/alter/easili/design/phase/reflect/restructur/requir/thesauru/term/alreadi/machin/readabl/form/simpl/prepar/print/program/provid/permut/alphabet/hierarch/chart/format/term/display/overal/use/minicomput/facilit/initi/thesauru/entri/develop/reduc/cleric/effort/editori/staff/decis/overal/process/time
70,decis/support/system/dss/repres/concept/role/comput/within/decis/make/process/term/becom/ralli/cri/research/practition/manag/concern/manag/scienc/manag/inform/system/field/becom/unnecessarili/narrow/focu/mani/ralli/cri/term/well/defin/writer/dss/simpli/mean/interact/system/use/manag/other/key/issu/support/rather/system/focu/understand/improv/decis/process/dss/design/use/avail/suitabl/technolog/research/view/dss/subfield/mi/other/regard/extens/manag/scienc/techniqu/former/defin/decis/support/provid/manag/access/data/latter/give/access/analyt/model/key/argument/paper/term/dss/relev/situat/final/system/develop/adapt/process/learn/evolut/design/strategi/must/focu/get/finish/differ/manag/scienc/data/process/approach/research/issu/dss/center/around/adapt/evolut/includ/manageri/learn/represent/task/user/behavior/design/architectur/strategi/get/start
71,new/method/describ/extract/signific/phrase/titl/abstreact/scientif/technic/document/method/base/upon/text/structur/analysi/use/rel/small/dictionari/dictionari/construct/base/knowledg/concept/field/scienc/technolog/lexic/knowledg/signific/phrase/compon/item/may/use/differ/mean/among/field/text/analysiu/approach/appli/select/signific/phrase/substanti/semant/inform/carrier/content/abstract/result/experi/five/set/document/shown/signific/phrase/effect/extract/case/number/everi/document/process/time/fairli/satisfactori/inform/represent/document/partli/use/method/discuss/relat/construct/document/inform/retriev/system
72,passag/retriev/alreadi/oper/lawyer/advantag/output/form/opver/refer/retriev/econom/feasibl/previou/experi/passag/retriev/scientist/demonstr/recal/fals/retriev/rate/good/better/present/refer/retriev/servic/present/experi/involv/greater/varieti/form/retriev/question/addit/search/word/select/independ/two/differ/peopl/retriev/question/search/word/select/combin/comput/procedur/use/passag/retriev/produc/averag/recal/ratio/respect/two/selector/fals/retriev/rate/except/one/predict/difficult/question/respect/fals/retriev/sentenc/per/answerpap/retriev
73,paper/describ/practic/method/partialmatch/retriev/larg/data/file/binari/code/word/call/descriptor/associ/record/file/record/descriptor/use/form/deriv/descriptor/block/sever/record/serv/index/block/whole/henc/name/index/descriptor/file/first/structur/file/describ/simpl/effici/retriev/algorithm/present/expect/behavior/term/storag/access/analyz/detail/two/differ/file/creation/procedur/sketch/number/way/file/organ/tune/particular/applic/suggest
74,recenti/technolog/advanc/success/oclc/inc/led/emerg/three/addit/nonprofit/librari/network/research/librari/inform/network/rlin/research/librari/group/inc/univers/toronto/librari/autom/system/utla/washington/librari/network/wln/paper/examin/econom/technolog/factor/affect/evolut/network/also/explor/role/state/region/multist/network/broker/oclc/servic/competit/cooper/natur/network/relationship/major/theme/discuss
75,new/type/natur/languag/parser/present/idea/behind/parser/map/input/sentenc/deepest/form/represent/mean/infer/appropri/parser/distinct/entir/understand/system/use/integr/concept/infer/script/plan/knowledg/aid/pars/furthermor/attempt/pars/everyth/see/rather/determin/interest/concentr/ignor/rest
76,paper/discuss/origin/librari/network/trace/develop/unit/state/late/present/concept/resourc/share/particular/attent/inter/librari/loan/program/cooper/acquisit/storag/materi/examin/relationship/librari/network/particular/attent/given/question/two/major/compon/librari/cooper/tend/separ/might/becom/close/integr
77,paper/present/method/normal/english/titl/retriev/titl/express/noun/phrase/noun/claus/convert/functionexpress/pars/retriev/reason/recal/rate/well/high/precis/rate/function/express/transform/predicategovernor/form/normal/standard/form/therefrom/variou/item/extract/record/hierarch/treelik/invert/file/order/keep/recal/rate/reason/valu/sever/retriev/stage/implement/base/keyterm/caselabel/match/retriev/control/precis/specif/caselabel/keyterm
78,gener/notion/atn/grammar/call/cascad/atn/catn/prescrib/catn/permit/decomposit/complex/languag/understand/behavior/sequenc/cooper/atn/separ/domain/respons/stage/call/atn/transduc/take/input/output/previou/stage/paper/includ/extens/discjuss/principl/factoringconceptu/factor/reduc/number/place/given/fact/need/repres/grammar/hypothesi/factor/reduc/number/distinct/hypothes/consid/pars
79,algorithm/given/process/partial/specifi/queri/compress/databas/system/propos/method/handl/effect/queri/use/either/whole/word/word/fragment/languag/element/method/compar/critic/evalu/term/design/retriev/cost/analys/show/method/exploit/interdepend/fragment/well/relev/fragment/record/file/maximum/design/cost/least/retriev/cost
80,detail/analysi/eight/previous/publish/mathemat/model/gener/formul/bradford/distribut/deduc/follow/logx/c/b/ratio/cumul/frequenc/articl/total/number/articl/x/ratio/rank/journal/total/number/journal/paramet/b/c/slope/intercept/shift/straight/line/log/rank/respect/eight/model/special/case/gener/formul/one/five/type/formul/order/estim/three/unknown/paramet/statist/method/use/rootweight/squar/error/propos/compar/experi/use/databas/suggest/fifth/type/formul/three/unknown/paramet/best/fit/observ/data/experi/show/delet/droop/data/lead/accur/valu/paramet/less/error
81,lexic/problem/larg/inform/system/creat/necess/handl/great/number/name/interrel/lexic/problem/cover/complet/concept/data/dictionari/mostli/concern/databas/scheme/design/rather/execut/oper/paper/introduc/view/lexic/subsystem/separ/compon/inform/system/architectur/deal/linguist/control/function/concern/lexic/problem/local/network/environ/lexic/suybsystem/special/effici/organ/program/packag/play/role/linguist/filter/broad/sens/lexic/incorrect/queri/promot/integr/databas/inform/retriev/system/facilit/creation/local/inform/system/hope/lexic/subsystem/becom/product/larg/especi/distribut/inform/system
82,relat/model/receiv/increas/attent/past/decad/advantag/includ/simplic/consist/sound/theoret/basi/articl/natur/view/inform/retriev/relat/demonstr/relat/model/present/relat/organ/bibliograph/databas/shown/notion/normal/introduc/first/second/third/fourth/normal/form/demonstr/relat/languag/discuss/includ/relat/calculu/relat/algebra/sequel/numer/exampl/pertin/inform/retriev/present/relat/languag/advantag/relat/approach/inform/retriev/note
83,paper/describ/architectur/approach/provid/inform/exchang/across/broad/spectrum/user/applic/offic/autom/offer/architectur/describ/herein/current/implement/exist/ibm/product/architectur/provid/basi/document/interchang/capabl/product/ibm/administr/system/ibm/system/distribut/offic/support/system/disoss/ibm/displaywrit/system/specif/describ/document/distribut/architectur/associ/data/stream/other/gener/overview/architectur/oppos/detail/technic/descript/provid/architectur/describ/protocol/interchang/applic/process/address/specif/user/interfac/document/distribut/architectur/util/sna/data/transmiss/commun/control/facil
84,techniqu/describ/automat/reformul/boolean/queri/base/patron/relev/judgement/initi/retriev/preval/measur/deriv/term/appear/retriev/set/document/reflect/term/distribut/among/relev/nonrelev/document/measur/use/guid/construct/boolean/queri/subsequ/retriev/illustr/techniqu/seri/test/describ/applic/small/data/base/experiment/environ/result/compar/favour/feedback/employ/smarttyp/system/extens/test/suggest/valid/techniqu
85,paper/intend/propos/new/methodolog/approach/concept/develop/natur/languag/understand/system/new/contribut/support/design/implement/experiment/donau/gener/purpos/domain/orient/natur/languag/understand/system/develop/present/run/milan/polytechn/artifici/intellig/project/system/base/two/level/modular/architectur/intend/overcom/lack/flexibl/gener/often/point/mani/exist/system/facilit/exchang/result/actual/experi/differ/project/horizont/level/allow/independ/parallel/develop/singl/segment/system/syntact/analys/inform/extractor/legal/control/vertic/level/ensur/possibl/chang/enlarg/redefin/definit/semant/domain/particular/version/system/orient/special/simpl/increment/userori/way/paper/gener/architectur/system/mode/oper/segment/illustr/detail/linguist/model/knowledg/represent/pars/algorithm/describ/illustr/mean/select/exampl/perform/evalu/system/applic/version/data/base/inquiri/report/discuss/promis/direct/futur/research/present/conclus
86,approxim/match/string/review/aim/survey/techniqu/suitabl/find/item/databas/may/spell/mistak/error/keyword/method/found/classifi/either/equival/similar/problem/equival/problem/seen/readili/solv/use/canon/form/similar/problem/differ/measur/survey/full/descript/wellestablish/dynam/program/method/relat/approach/use/probabl/likelihood/search/approxim/match/larg/set/use/differ/function/seen/open/problem/still/though/sever/promis/idea/suggest/approxim/match/error/correct/pars/briefli/review
87,prototyp/system/creat/integr/microfich/catalog/onlin/comput/system/bibliograph/control/cost/oper/data/collect/analyz/system/permit/econom/microfich/storag/catalog/record/would/feasibl/compar/onlin/magnet/disk/storag/experiment/test/demonstr/feasibl/onlin/microfich/catalog/system/use/librari/technic/servic/retriev/bibliograph/data/primari/result/project/creation/complet/oper/facil/includ/equip/softwar/procedur/data/base/necessari/demonstr/system/second/set/result/deriv/experiment/use/system/evalu/cost/time/variou/oper/cost/effect/onlin/microfich/catalog/demonstr
88,question/ask/whether/feasibl/use/subset/natur/languag/queri/languag/data/base/actual/applic/use/question/answer/system/user/specialti/languag/usl/method/evalu/natur/languag/base/inform/system/discuss/result/error/languag/structur/evalu/suggest/form/gener/architectur/applic/system/use/subset/german/queri/languag
89,collier/present/hypothet/data/econom/aspect/use/onlin/servic/compar/subscript/print/servic/librari/collier/view/econom/onlin/search/seem/misleadingli/pessimist/look/cost/effect/compar/two/mode/access/search/analysi/combin/cost/effect/aspect/ie/costeffect/analysi/would/give/complet/differ/pictur/way/cost/data/present/grossli/unfair/onlin/mode/access/use/work/contain/correct/inform/regard/onlin/print/servic/librari
90,mani/inform/scientist/concern/oper/document/retriev/system/serv/scientist/variou/field/scientist/serv/system/often/member/call/invis/colleg/group/scientist/frequent/commun/one/anoth/involv/highli/special/subject/matter/often/group/consid/share/intellectu/perspect/regard/subject/matter/sometim/refer/paradigm/purpos/paper/show/possibl/identifi/paradigm/use/techniqu/citat/analysi/operation/notion/paradigm/consensu/structur/concept/field/suppos/obtain/set/paper/pertain/topic/alreadi/know/someth/field/read/text/mark/passag/certain/specif/concept/use/discuss/exampl/might/find/concept/design/appear/subset/paper/suppos/identifi/paper/concept/b/use/togeth/paper/certain/specifi/manner/clearli/concept/combin/natur/way/author/combin/concept/b/way/though/predomin/mode/may/emerg/set/n/concept/structur/given/total/admiss/combin/concept/taken/two/n/time/frequenc/given/combin/occur/sampl/paper/topic/measur/degre/consensu/regard/particular/concept/combin/within/corpu/concept/taken/two/time/structur/display/graph/concept/node/relat/repres/line/arc/connect/node/definit/concept/structur/similar/semant/network/artifici/intellig/except/approach/measur/consensu/weight/arc/graph
91,one/mode/onlin/retriev/scisearch/social/scisearch/involv/enter/pair/author/name/believ/jointli/cite/subsequ/writer/retriev/paper/cocit/occur/six/pair/form/name/four/author/promin/social/indic/movement/bauer/duncan/land/sheldon/document/four/specifi/thought/pair/duncan/land/would/retriev/paper/indicatortyp/data/would/integr/pathanalyt/causal/model/pair/seem/like/retriev/gener/social/indic/literatur/retriev/paper/confirm/expectatt/found/paper/gener/cite/social/indic/si/document/input/author/frequent/si/languag/titl/sign/content/also/identifi/paper/si/movement/paper/retriev/duncan/land/gener/cite/causal/model/document/input/pair/pathanalyt/natur/expect/rel/harder/first/group/paper/although/two/group/akin/formal/link/citat/certain/paper/addit/result/paper/cite/least/three/input/author/tend/overview/si/movement
92,number/databas/record/contain/databas/onlin/use/databas/increas/dramat/past/sever/year/bring/total/bibliograph/bioliographicrel/natur/languag/databas/databas/contain/million/record/million/onlin/search/conduct/via/major/us/canadian/system
93,method/iter/search/use/result/one/iter/search/formul/next/iter/search/appli/fulltext/databas/consist/document/textword/hebrew/arama/iter/method/consist/cluster/document/return/iter/use/weight/proxim/frequenc/simultan/process/produc/searchonym/term/synonym/keyword/context/singl/queri/augument/replac/keyword/searchonym/via/manual/automat/feedback/lead/formul/next/iter/search/result/experi/consist/earlier/smallscal/experi/english/databas/indic/contrast/global/cluster/size/matric/limit/applic/small/databas/improv/doubt/local/metric/method/appear/well/suit/arbitrarili/larg/databas/improv/precis/recal/simultan/experi/use/testqueri/run/even/larger/databas/made/collect/evid/perform/method
94,refl/microcomputerbas/system/data/retriev/librari/environ/problem/inform/retriev/discuss/theoret/point/view/follow/analysi/refer/process/data/therebi/gather/lead/descript/refl/term/hardwar/softwar/refl/prototyp/system/present/current/function/test/environ/exampl/data/contain/system/use/present/futur/consider/specul/version/system/conclud/paper
95,major/defici/tradit/boolean/system/inabl/repres/vari/degre/document/may/written/subject/articl/isol/number/criteria/met/boolean/system/gener/weight/capabl/proven/one/weight/rule/satisfi/conditionsthat/associ/fuzzi/set/theoryand/weight/scheme/satisfi/properti/associ/boolean/algebra/well/probabilist/weight/introduc/altern/approach/two/system/compar/limit/zeroon/weight/system/consid/converg/tradit/boolean/retriev
96,sever/paper/appear/analyz/recent/develop/problem/process/document/retriev/system/queri/express/boolean/express/purpos/paper/continu/analysi/shall/show/concept/threshold/valu/resolv/problem/inher/relev/weight/moreov/shall/explor/possibl/evalu/mechan/retriev/document/base/fuzzysettheoret/consider
97,good/deal/work/inform/retriev/system/continu/weight/assign/index/term/describ/record/databas/andor/queri/term/describ/user/queri/recent/articl/analyz/retriev/system/continu/weight/either/type/andor/boolean/structur/queri/also/suggest/criteria/system/ought/satisfi/record/evalu/mechan/partial/satisfi/criteria/offer/care/analysi/base/gener/discret/weight/also/look/weight/entir/differ/approach/involv/threshold/gener/improv/evalu/mechan/seem/fulfil/larger/subset/desir/criteria/previou/mechan/new/mechan/allow/user/attach/threshold/queri/term
98,onlin/retriev/system/may/difficult/use/especi/end/user/heterogen/complex/investig/concern/concept/translat/comput/interfac/mean/simplifi/access/oper/heterogen/bibliograph/retriev/system/databas/interfac/allow/user/make/request/common/languag/request/translat/interfac/appropri/command/whatev/system/interrog/system/respons/may/also/transform/interfac/common/form/given/user/thu/network/differ/system/made/look/like/singl/virtual/system/user/interfac/also/provid/instruct/search/aid/user/philosophi/design/implement/experiment/interfac/name/conit/describ
99,evalu/concept/translat/compuyt/interfac/simplifi/oper/multipl/heterogen/onlin/bibliograph/retriev/system/undertaken/experiment/retriev/system/name/conit/built/test/control/condit/inexperienc/end/user/detail/analysi/experiment/usag/show/user/abl/master/interfac/oper/suffici/well/find/relev/document/refer/success/attribut/part/simpl/command/languag/adequ/onlin/instruct/simplifi/naturallanguag/keywordstem/approach/search/conclud/oper/interfac/type/studi/provid/increas/usabl/exist/system/cost/effect/manner/especi/searcher/furthermor/advanc/interfac/base/improv/instruct/autom/search/strategi/techniqu/could/enhanc/retriev/effect/wide/class/user
100,paper/note/benefit/accru/interact/computer/retriev/system/micrograph/retriev/system/review/current/state/autom/micrograph/retriev/technolog/conclus/combin/advanc/commun/technolog/sophist/index/input/librari/inform/scientist/new/gener/autom/micrograph/devic/may/constitut/onlin/document/retriev/system/futur
101,convent/inform/retriev/process/larg/base/data/movement/pointer/manipul/integ/arithmet/refin/retriev/algorithm/may/addit/benefit/substanti/comput/power/present/studi/number/parallel/process/method/describ/serv/enhanc/retriev/servic/convent/retriev/environ/parallel/list/process/parallel/search/facil/greatest/interest/advanc/system/use/array/processor/also/prove/benefici/variou/inform/retriev/process/examin/evid/given/demonstr/use/parallel/process/fast/comput/facil/inform/retriev
102,frequenc/characterist/term/document/collect/use/indic/term/import/content/analysi/index/purpos/particular/rare/frequent/term/normal/believ/less/effect/mediumfrequ/term/recent/automat/index/theori/devis/use/term/frequenc/characterist/also/relev/properti/term/major/termweight/theori/first/briefli/review/term/precis/term/util/weight/base/occurr/characterist/term/relev/oppos/nonrelev/document/collect/introduc/method/suggest/estim/relev/properti/term/base/overal/occurr/characterist/collect/final/experiment/evalu/result/shown/compar/weight/system/use/term/relev/properti/convent/frequencybas/methodolog
103,paper/describ/design/implement/electron/file/machin/machin/capabl/store/larg/number/unstructur/document/way/particular/document/may/easili/quickli/retriev/function/distribut/architectur/permit/implement/system/mixtur/hardwar/softwar
104,paper/tackl/problem/one/might/select/search/term/use/relev/feedback/given/search/term/queri/search/term/extract/maximum/span/tree/connect/term/index/term/vocabulari/number/differ/span/tree/gener/varieti/associ/measur/retriev/effect/differ/span/tree/shown/approxim/effect/measur/term/precis/recal/retriev/test/done/three/differ/test/collect
105,index/qualiti/determin/whether/inform/content/index/document/accur/repres/index/effect/measur/whether/index/document/correctli/retriev/everi/time/relev/queri/measur/criteria/cumbersom/costli/data/base/produc/therefor/prefer/interindex/consist/measur/index/qualiti/effect/present/articl/assess/valid/substitut/variou/environ
106,set/experi/conduct/determin/suitabl/colon/classif/foundat/autom/analysi/represent/retriev/primari/inform/full/text/document/primari/inform/inform/embodi/text/document/oppos/secondari/inform/gener/form/abstract/tabl/content/index/full/text/databas/creat/two/subject/area/queri/solicit/specialist/area/autom/full/text/index/system/along/four/autom/passag/retriev/system/creat/test/variou/featur/colon/classif/two/booleanbas/system/one/simpl/word/occurr/system/creat/order/compar/retriev/result/type/system/common/use/system/retriev/perform/measur/use/recal/precis/mean/expect/search/length/reduct/factor/overal/found/colon/classificationbas/system/perform/significantli/better/system
107,studi/carri/relationship/vocabulari/user/queri/vocabulari/document/relev/queri/valu/ad/document/descript/record/retriev/system/keyword/previou/queri/document/prove/use/two/test/databas/incorpor/user/queri/keyword/implement/school/librari/inform/scienc/univers/western/ontario/cluster/document/via/titl/user/keyword/statist/analysi/titleus/keyword/cooccurr/retriev/test/use/examin/effect/ad/keyword/result/show/impract/procedur/oper/set/indic/valu/analys/sampl/data/develop/mainten/keyword/dictionari/thesauri
